,production index_PRO28840_org,production index_PRO281000_org,production index_PRO28756_org,production index_PRO28826_org,production index_PRO28380_org,production index_PRO28392_org,production index_PRO28250_org,production index_PRO28276_org,production index_PRO27840_org,production index_PRO271000_org,production index_PRO27756_org,production index_PRO27826_org,production index_PRO27380_org,production index_PRO27392_org,production index_PRO27250_org,production index_PRO27276_org
2022-04-01,119.38548278808594,128.28570556640625,96.36064803944589,84.72872838770124,111.0907440185547,120.09880994442013,91.97969818115234,98.67587280273438,112.15808868408203,134.84335327148438,98.3451536643026,114.35984432691346,86.25568389892578,102.36168021849899,80.7633056640625,101.0743408203125
2022-05-01,118.58044615265457,131.02774916838456,96.14679032622472,86.15395060103096,123.52032177047268,115.10165830556505,91.38468948904521,102.1883932035806,112.3907408691964,135.36062443984306,97.62511621085818,114.67801114278947,95.40227057461466,97.12610892193051,77.61332500252198,101.3201214150116
2022-06-01,120.78974280475339,140.83740717982465,95.15082186746966,101.38755168764104,123.1741835146936,132.82460733881317,112.52777970850713,110.82419376242902,112.84019062341056,145.17660594328953,96.17744103633258,129.37785490490154,95.78991223463294,118.05247492539621,90.73968923268556,109.71606498881634
2022-07-01,112.55836390203588,131.80863645969964,96.6988622929719,94.72726489841673,130.0338130784815,126.74671099296275,101.80999698909979,105.24266574908633,110.39374297158558,138.5328260011671,98.7828510552675,125.36300961889837,97.7980488956638,106.57629274291723,82.05585542150429,108.01871282574515
2022-08-01,115.71647002304984,125.02761568076596,97.76683072578564,88.09888220307595,73.38443237657268,116.08910227643972,65.61025170427146,97.17103147933842,112.494807339435,132.61552950086727,101.89399295447821,121.8774374163036,53.9242785091041,90.96031486285808,58.91092926472286,104.1014477856481
2022-09-01,115.02613118073279,139.2814893303395,99.26877003379808,102.33650188970913,121.26564955637792,134.50858163554997,107.85208960875323,109.97204429057,112.34180227138884,146.94123211746913,105.51887138945295,134.03193738355873,97.64300696981124,107.05508011493009,87.87735106488898,112.78726158029708
2022-10-01,115.03943039183919,134.94355808563094,99.95296323158429,93.29979233963476,126.73663145329314,123.40507801103516,105.42505784832068,104.15599596057876,114.70491631946558,142.57103162087577,109.78135391312043,125.58376922899825,97.41850127630285,102.08897477134175,89.31693248675501,110.64776401461629
2022-11-01,112.76543137975419,138.04855418822464,100.97566547501911,100.18404400105828,122.21228420541789,125.92767598530362,100.09142557745692,112.00482654573794,114.72179459171544,146.31398797056173,113.76854102033793,131.8211774854956,93.72696831423671,105.99310573572023,85.07067615527693,112.99344050725774
2022-12-01,109.29929447868128,136.62058758864967,101.69855742033454,95.37123159796451,106.6790505208547,132.70336264729613,109.19836710942434,119.570146804533,112.59964542853709,135.86746769513417,117.50301196668866,124.20052014531093,76.73358617528633,109.07953473084008,78.45784863665952,102.04006183942442
2023-01-01,113.10905442882127,121.19130666937849,98.55882494641155,88.32650737463754,104.00519934208245,116.78195638077591,90.03587557523187,90.89284445305917,112.72850709073155,125.52952580276896,113.52243593626086,118.59626728771205,82.67964133387363,97.96250517221127,76.21991621043048,103.04001998741813
2023-02-01,116.24706679603396,128.98993716236097,95.16801204313796,92.71983100693916,117.6815456342825,123.1992892122544,96.19038326700972,99.12803977655673,113.49521789786886,130.09919128916164,109.67387541134228,123.92851660872837,94.20313365560841,105.6391869714013,76.73840728221231,109.67973651161483
