date,RohiBASEMET1000_org,RohiENERGY1000_org,RohiMETMIN1000_org,RohiNATGAS1000_org,RohCRUDE_PETRO1000_org,RohCOPPER1000_org,WKLWEUR840_org
2022-05-01,143.76574916116263,149.51104260918618,135.50266847087582,249.19176510622938,125.90499930284258,133.81770287103794,1.0788587354147523
2022-06-01,141.62365139208586,148.15806072945998,133.20852355484072,246.69684478324723,121.37755583736687,134.07654149776806,1.0788587354147523
2022-07-01,139.3349033742652,147.66034220900082,131.08945418605046,236.99659721725092,121.37755583736687,133.38340850991986,1.0788587354147523
2022-08-01,136.82854985430828,147.47724757239106,129.0942436699132,243.3938548437657,121.37755583736687,133.95976455901337,1.0788587354147523
2022-09-01,134.10373021208798,147.40989294406754,127.20006974081966,231.8339005964283,121.37755583736687,133.48051122502054,1.0788587354147523
2022-10-01,131.17888453419516,147.38511534249164,125.39552327696548,221.51722212289647,121.37755583736687,133.8790214141727,1.0788587354147523
2022-11-01,128.0779831273593,147.37600045974142,123.67384311617212,232.83846627770967,121.37755583736687,133.54765101026757,1.0788587354147523
2022-12-01,124.82669370772648,147.3726473875203,122.03021813761656,220.96196809501632,121.37755583736687,133.82319313584753,1.0788587354147523
2023-01-01,121.45121837653257,147.3714139000879,120.4607087389181,226.67707746012647,121.37755583736687,133.59407350997154,1.0788587354147523
2023-02-01,117.97785077220017,147.37096013973158,118.96181319811507,232.54509629163684,121.37755583736687,133.78459175777508,1.0788587354147523
