date,MAB_ELE_PRO156,MAB_ELE_SHP156,MAB_ELE_PRO250,MAB_ELE_SHP250,MAB_ELE_PRO276,MAB_ELE_SHP276,MAB_ELE_PRO380,MAB_ELE_SHP380,MAB_ELE_PRO392,MAB_ELE_SHP392,MAB_ELE_PRO756,MAB_ELE_SHP756,MAB_ELE_PRO826,MAB_ELE_SHP826,MAB_ELE_PRO840,MAB_ELE_SHP840,MAB_ELE_PRO1100,MAB_ELE_SHP1100
2004-02-01,16.94070431693488,16.94070431693488,112.09127317105393,83.45886578230527,82.62303681836659,79.45253199798833,124.28960262622753,86.56049262864539,109.33401014137827,110.49527205298672,91.22186223237347,89.98727470275578,111.35381188990044,73.60126459037494,107.60140001746241,79.2402303515695,97.12291101331279,80.09852990133969
2004-03-01,23.711852473663786,23.711852473663786,136.32797556583895,106.16819176580846,100.5565821427998,97.01291838472758,143.41166158192974,106.34454387569338,140.88461567399355,144.6861659979309,85.8662871630306,79.88358279738536,127.55860829161503,84.04759509582674,110.18736375339611,98.61902382498265,113.78390367681209,96.01592927565468
2004-04-01,24.435234972226496,24.435234972226496,117.7918060900324,92.00764649124649,89.65320321741748,84.93235814143094,129.0838284516689,95.57967279053582,105.85357863799393,102.65576888295655,85.62250796006691,79.74080166700232,108.73229734337835,73.02602679065585,108.16656384226461,89.77403134726296,101.71519900172731,85.16723571689052
2004-05-01,23.708115041407584,23.708115041407584,109.00254089205208,85.69648588212209,86.88057096408303,82.37279441778624,135.59039052104447,100.08703920955766,101.8647770114048,100.30528501514455,85.37872875710323,79.59802053661927,110.64520023896873,74.59188324707485,108.42588708229499,87.46381275407037,101.27572712179943,84.48576697537862
2004-06-01,27.00913800703528,27.00913800703528,133.7857371340491,106.64148191270336,99.0108136976923,95.1087404856352,136.42493532489436,110.88971943724088,120.33291998099766,119.61637963779731,85.13494955413955,79.45523940623622,122.02095993773665,82.34334634120098,110.56993310621407,97.36449610199753,112.05719726369529,96.96329430406252
2004-07-01,23.590959311166877,23.590959311166877,117.40590412487414,89.30278079985777,94.20031779905266,89.64623900957477,140.35146682104383,106.13343644123414,118.14054745987723,116.43894147432398,84.32492549300943,78.70298692238643,112.62094737537164,77.10944740958082,104.53867090731687,84.69102335234325,104.08938820203412,88.06162629538171
2004-08-01,24.280597367158453,24.280597367158453,79.1370329009055,71.79896247173573,82.80484367347273,80.19726802899805,54.39725221798039,49.0460038928197,106.24377263369222,107.6157055858063,83.51490143187932,77.95073443853667,102.72431197490992,70.84903300508628,107.16422319732564,88.29473453683327,80.47662630810166,71.1588836379391
2004-09-01,25.98919212764996,25.98919212764996,130.48795519562785,98.89681724762866,102.03993091663837,101.18697028100007,130.6615706067186,104.55889168774061,124.92918815354278,128.39123224517917,82.7048773707492,77.1984819546869,120.37798960998667,83.96576028266482,109.02797563710082,97.23227284276228,111.21304489698252,97.1673009064578
2004-10-01,24.895962329857753,24.895962329857753,119.70761328678877,99.60374017823221,93.51935750776042,89.04554867244102,133.23148417419554,95.90305408666589,104.92228563250652,104.34352925050858,85.66408888180953,80.08275035036554,114.47892051302418,80.9012433357282,110.44512443059841,91.01166192058784,105.69440953409088,89.52616886137692
2004-11-01,26.774785086737072,26.774785086737072,114.50958750501509,86.51116511366415,97.13076292571162,93.85265669455461,130.11109754242966,105.53936000490857,112.82851179546482,112.2737267395913,88.62330039286987,82.96701874604419,119.45550265748038,84.27083311800031,109.60782732830016,86.75333482809717,107.46586826905926,92.99578696475932
2004-12-01,32.733755651716066,32.733755651716066,122.84230058386736,104.11297428939808,102.34454912053452,105.03396970718336,125.54822578312427,117.95883913797711,114.12863035377623,116.67040606164532,91.5825119039302,85.85128714172284,107.31950290513717,75.56865940278082,105.61671569638536,96.12888750158731,109.32527753636062,101.52575454817138
2005-01-01,21.92819388302241,21.92819388302241,109.81138618318522,89.7225312803001,79.39125731530035,77.77331494008307,106.46468076499801,72.30037232060829,104.48537459278548,104.63181773996814,88.19042348229179,82.72213831075241,100.25382848914984,70.98762383913956,109.17571072847768,85.0834053272749,89.61676625597859,76.31761365154676
2005-02-01,21.92819388302241,21.92819388302241,112.77064856988488,87.07192802983097,85.48053948072273,81.6503858403677,119.97084345073999,87.20655045309964,113.1724417310691,112.78582673325968,84.7983350606534,79.592989479782,111.40431278421607,77.97210065717542,112.40011722000894,89.68514041446068,97.80553702964026,82.25598082537942
2005-03-01,29.649776259392507,29.649776259392507,132.81540992905988,106.68068988232503,99.81302952709379,97.14078275382712,136.81787300838064,105.27097832562208,146.6974678699679,154.69046169190165,81.406246639015,76.46384064881157,121.99024525060773,86.19971676474336,114.44237220775568,103.74748925094188,110.31262180829714,96.28220535667876
2005-04-01,29.923804950870693,29.923804950870693,119.87676522535668,93.28661358310306,95.96444818936152,91.5191971547028,129.52342671615116,95.87412964795845,111.36862283402802,109.08486767509355,82.26798654844724,77.45733557429885,113.74006579714842,79.3891352130292,114.39432530110307,98.24574473784538,106.51747577685906,90.39364311777345
2005-05-01,32.73906189402101,32.73906189402101,114.21683000984906,93.64157591489126,88.22006100496108,85.30809257463483,139.5480427917975,102.86547894148332,106.35652739501487,103.51730001059674,83.1297264578795,78.45083049978614,111.94653603082132,78.21719768231654,113.77424799899126,98.17454372826371,103.4031460702494,88.90578816495363
2005-06-01,35.84671445214215,35.84671445214215,137.4642519674877,109.6591471473394,107.93688343392068,103.73879536840916,128.06466785014896,112.7465425863983,123.89191085324146,122.77391108453881,83.99146636731174,79.4443254252734,121.39403549043442,84.80434267601058,115.73963540563678,105.63497237645707,115.41979771628604,102.13228049222222
2005-07-01,31.002236013546238,31.002236013546238,113.53049109070028,88.50315132255727,93.79308582549945,90.10961379609336,135.47204324226732,108.29431354883285,115.8915034291405,116.29102219224643,83.67991919373648,79.1577609196103,108.55007997330252,76.85391857920075,107.50783083898023,90.23167795561285,102.72914217644468,89.15812197435824
2005-08-01,31.351821132541403,31.351821132541403,79.47555245262713,74.94096370448054,87.52702210995429,85.2907652151154,57.55417458093376,57.09373323403562,110.57680534617998,111.88894812069385,83.36837202016123,78.87119641394717,110.36499507732918,77.39646849902029,110.49538165799035,99.16807943388785,84.19485732369132,76.6770566795367
