date,MAB_ELE_PRO156,MAB_ELE_SHP156,MAB_ELE_PRO250,MAB_ELE_SHP250,MAB_ELE_PRO276,MAB_ELE_SHP276,MAB_ELE_PRO380,MAB_ELE_SHP380,MAB_ELE_PRO392,MAB_ELE_SHP392,MAB_ELE_PRO756,MAB_ELE_SHP756,MAB_ELE_PRO826,MAB_ELE_SHP826,MAB_ELE_PRO840,MAB_ELE_SHP840,MAB_ELE_PRO1100,MAB_ELE_SHP1100
2022-05-01,284.6931164418545,284.6931164418545,85.92013279226163,113.83085687731064,99.05321953517999,132.10676290637798,113.71664082146465,140.20891859611334,106.79673581435532,106.56632984302983,96.6745182569837,94.6730514529838,100.98471820723864,95.70383802430487,117.1819385486941,149.80646430871795,114.37465364149534,136.2471977838637
2022-06-01,318.8517468172072,318.8517468172072,105.42411104615537,138.80314432009573,113.47455735250199,145.33461034046348,110.97618144882198,152.4624518279334,125.35203980597765,127.64737343180786,95.87414542818705,93.49792453115963,109.45149060253762,105.81715581338288,118.53510794401907,159.23745237898925,124.49675797354135,151.43805387151312
2022-07-01,268.8731315220876,268.8731315220876,93.95447040332033,116.0129226678875,109.04333396697963,134.72690161631465,114.59425979677577,149.95346957373326,119.3251888702168,120.62909267970713,97.02772797936932,96.73589947605535,100.31431217227586,100.36155205776778,114.97876408472652,145.22198547064963,116.24771015840712,137.379283127035
2022-08-01,260.8094665385324,260.8094665385324,63.80044287165482,101.51594951602091,99.88415737056413,130.22662754962812,62.49416338800206,100.15985263407828,105.08447560637089,107.70601765723009,98.24328619593064,99.7653990585236,98.54060809314716,95.78152490255714,117.01671911041002,153.16616036997613,103.14133137139017,122.73684973569839
2022-09-01,268.81479096846124,268.81479096846124,101.17753016117439,129.39729569991988,115.15004826298636,148.0724600511097,109.58037584813376,146.53849479552727,124.01326932833274,125.06539274733214,99.55152488841323,102.46457294761818,109.36269775044899,106.19090959875406,115.94369329422595,156.75115486955085,123.03127225470296,149.6218084078162
2022-10-01,281.3720141851483,281.3720141851483,99.52937988033266,130.2633757460154,110.97137753289407,135.77078294811687,110.44741789012443,146.93927879080755,115.10253002594122,115.1036206305773,101.16962020371443,103.58494976397765,102.60000961938455,105.1674181884199,117.98295518407333,153.73331536267182,116.95606815132076,140.45025392075348
2022-11-01,302.15988059745087,302.15988059745087,94.78409420624445,125.66180386787407,116.7518584925409,148.50499766942832,107.90597876053772,148.11934773728075,118.39209843099854,119.95827680638891,102.88497404408938,104.52532938106397,110.30007430261884,105.12044501695502,116.03820751099983,145.98356841616595,121.86986079386968,149.90430572128284
2022-12-01,322.6252670855365,322.6252670855365,98.04483154663926,134.6562401211908,117.92866797415283,151.67811413625196,90.50966823092787,161.37262144415536,124.8014794920699,127.47276751335328,104.68524621410093,105.47777122058777,97.62341347850763,98.31174457862025,113.88812649038478,155.79856240761163,121.07923981187994,155.73134898398297
2023-01-01,244.26967975730022,244.26967975730022,84.88806722526462,116.79839556549288,98.58619960617892,120.98933584758738,88.91977194230846,118.88576573962003,109.6126746894445,109.89010771513216,100.96155134710969,102.15748242725651,91.88896131780349,95.43536224611589,117.15925710170791,140.87298839691204,106.07121510268445,130.66724619246142
2023-02-01,244.5172057258265,244.5172057258265,89.389892537197,121.03655506325296,107.68393683798477,133.0495474342797,102.80062636071574,133.067008804845,116.0670807210802,116.79426130277838,97.29266000987766,98.90525851188583,100.11917033428962,97.9363453494868,119.45777405641822,147.84315734152872,113.68728988329816,140.1228111184999
