date,PRI27840_org,PRI27826_org,PRI27380_org,PRI27250_org,PRI27276_org,PRI27156_org
2022-04-01,117.97427558898926,116.2743148803711,118.4080429077148,107.36680984497067,121.2206268310547,98.85708695965508
2022-05-01,118.04689686914348,116.41711316951572,119.25552158166798,107.48000853257555,122.4031875830448,100.13758676980883
2022-06-01,118.14418070401925,116.5774849531262,120.06487458815104,107.70918102328285,123.61198162501873,100.90503309735107
2022-07-01,118.26827620956752,116.74001942166514,120.83826646311148,107.83280576244623,125.04839834031264,101.42449108706201
2022-08-01,118.39944503783201,116.90282004137332,121.57773885374023,108.09571908990456,126.51738833661616,101.37935297239417
2022-09-01,118.54073667180249,117.06565341501802,122.28521749532347,108.10439890885543,128.00533899854022,101.45558325277271
2022-10-01,118.68378878357524,117.2284908195312,122.96251879199257,108.36780561292345,129.64373485642844,101.49931165408738
2022-11-01,118.8307630923268,117.39132872010387,123.61135602386038,108.40466381843525,131.26127689965864,100.89997351431789
2022-12-01,118.97802095479103,117.55416668172417,124.23334520175538,108.44150244903595,132.90863788620638,100.79313611291134
2023-01-01,119.12684244759994,117.7170046508573,124.83001058956067,108.47834699690867,135.1679022375258,100.89439519947301
2023-02-01,119.27560689648176,117.87984262091501,125.40278991302935,108.51518975605765,137.05551522482128,101.08481692056621
